method_id,family,name,lane,goal,data,assumptions,workflow,diagnostics,robustness,packages,formula_ids,failure
M01,基础统计,描述统计与探索性数据分析,共享基础,理解分布、缺失、异常、关联与数据生成过程,结构化或半结构化样本,样本定义一致；统计口径可比,口径表→缺失/异常→分布→分组→相关→可视化→异常说明,缺失机制、极端值、重复记录、单位与时间对齐,替代口径、缩尾/稳健统计、分层描述,pandas/Polars; R tidyverse; DuckDB,STAT-01,把相关性当因果，或在清洗前就开始建模
M02,统计实证,OLS/GLM 回归,实证解释,估计条件相关或广义响应关系,截面、面板或计数/二元结果,线性/链接函数正确；误差与解释变量关系满足估计要求,理论→变量→基准式→估计→诊断→替代式→解释,残差、异方差、共线性、聚类结构、过度离散,稳健/聚类标准误、替代因变量、非线性、删样本,statsmodels; R fixest/glm,STAT-02; STAT-03; STAT-04,只报告显著性，不报告效应量、区间与实际意义
M03,统计实证,面板固定效应/随机效应,实证解释,控制不可观测个体或时间不变异质性,个体×时间面板,严格外生或给定效应下外生；组内变异足够,面板审计→FE/RE 选择→双向效应→聚类误差→动态/滞后检验,组内变异、序列相关、横截面相关、短面板偏误,双向聚类、趋势项、滞后、Arellano-Bond/系统 GMM,linearmodels; R fixest/plm,STAT-04,固定效应吸收了核心变量后仍强行解释
M04,测量模型,结构方程模型/PLS-SEM,实证解释,估计潜变量、测量关系与结构路径,问卷、量表、多指标构念,构念有效；样本与估计器匹配；模型可识别,理论构念→量表→预测试→测量模型→结构模型→中介/调节,信度、聚合/区分效度、共同方法偏差、拟合,替代测量、竞争模型、多群组、不变性检验,R lavaan/seminr; Mplus; SmartPLS,STAT-06,用 PLS 规避糟糕测量，或用拟合指标替代理论
M05,事件过程,生存分析/风险模型,实证解释,分析事件发生时间与删失,持续时间、事件状态、协变量,删失机制合理；比例风险等模型假设可检验,定义起点/事件→删失→KM→Cox/AFT→时变协变量→预测,比例风险、竞争风险、信息性删失,AFT、分层 Cox、Fine-Gray、替代时间窗,lifelines; scikit-survival; R survival,STAT-05,忽略左截断、重复事件或竞争风险
M06,因果推断,双重差分与事件研究,因果识别,估计政策/冲击对处理组的平均影响,处理组、对照组、处理时间、面板/重复截面,平行趋势、无提前反应、无干扰；分期处理需正确估计,DAG→处理定义→样本→动态效应→平行趋势→异质性→安慰剂,预趋势、处理时点异质、组别构成、溢出,Callaway-Sant'Anna/Sun-Abraham、替代对照、placebo,R did/fixest; Stata csdid; Python linearmodels,CAUS-02; CAUS-03,对分期处理直接使用传统 TWFE 并误读权重
M07,因果推断,工具变量/2SLS,因果识别,处理内生性并估计局部平均处理效应,结果、内生处理、工具变量、控制变量,相关性、排除限制、独立性、单调性,机制/DAG→一阶段→弱工具检验→2SLS→过识别→LATE 解释,第一阶段 F、弱工具、排除限制、异质效应,LIML、不同工具、Conley bounds、负向对照,linearmodels IV; R AER/fixest; Stata ivreg2,CAUS-04,只证明工具相关，不论证排除限制
M08,因果推断,回归不连续设计,因果识别,利用阈值规则识别局部因果效应,运行变量、阈值、处理状态、结果,阈值附近连续、不可精确操纵、函数形式局部有效,制度规则→带宽→图形→局部多项式→密度/协变量检验→稳健性,McCrary 密度、协变量平衡、带宽、donut RDD,多带宽/核、局部随机化、placebo cutoff,R rdrobust; Python rdrobust,CAUS-05,高阶全局多项式造成虚假跳跃
M09,因果推断,合成控制,因果识别,为单个或少数处理单位构造反事实,长处理前序列、供体池、处理后结果,供体池未受处理；处理前拟合充分；无强溢出,供体池→预测变量→权重→前期拟合→后期差距→置换检验,RMSPE、供体权重集中、处理前拟合、溢出,leave-one-out、augmented SC、matrix completion,R Synth/augsynth; Python SyntheticControlMethods,CAUS-06,供体池不合格或前期拟合差仍宣称因果
M10,因果机器学习,DML/因果森林与异质效应,因果识别,在高维控制下估计 ATE/CATE,个体级处理、结果、高维协变量,重叠、无未观测混杂或有效工具；交叉拟合正确,DAG→样本分割→nuisance 模型→正交化→ATE/CATE→校准,重叠、nuisance 误差、校准、CATE 稳定性,不同 learner、敏感性分析、honest splitting,EconML; DoubleML; grf,CAUS-08,把异质性排序当成已验证的个体因果效应
