id,epic,title,priority,phase,estimate_days,depends_on,acceptance_test,owner_role,status
B001,Foundation,Add dev dependencies lockfile and CI,P0,W1,2,,A01,Backend,Not Started
B002,Foundation,Record baseline commit and smoke run,P0,W1,1,,A02,Backend,Not Started
B003,Domain,Create DomainProfile protocol,P0,W1,2,B001,A01,Agent,Not Started
B004,Domain,Remove RIS and ISAC hardcoded query expansion,P0,W1,1,B003,A01,Agent,Not Started
B005,Domain,Remove telecom hardcoded relevance scoring,P0,W1,1,B003,A01,Agent,Not Started
B006,Domain,Replace hardcoded synthesis clusters with taxonomy interface,P0,W2,2,B003,A01,Agent,Not Started
B007,Evaluation,Create three management-science benchmark fixtures,P0,W1,2,B001,A01,Research,Not Started
B008,Protocol,Implement ResearchProtocol Pydantic models,P0,W2,3,B003,A02,Backend,Not Started
B009,Protocol,Implement legacy ResearchRequest adapter,P0,W2,2,B008,A02,Backend,Not Started
B010,Protocol,Implement immutable protocol versions and G1 approval,P0,W3,3,B008,A08,Backend,Not Started
B011,Literature,Split literature backends into adapters,P0,W3,3,B001,A03,Backend,Not Started
B012,Literature,Implement multi-source union search,P0,W3,3,B011,A03,Backend,Not Started
B013,Literature,Implement DOI title author year dedupe,P0,W4,3,B012,A04,Backend,Not Started
B014,Literature,Preserve preprint and published-version relations,P1,W4,2,B013,A04,Backend,Not Started
B015,Literature,Store search protocol backend counts and raw snapshots,P0,W4,2,B012,A03,Backend,Not Started
B016,Extraction,Implement PaperCard v2 schema with locators,P0,W5,4,B013,A06,NLP,Not Started
B017,Extraction,Add evidence level confidence and review queue,P0,W5,3,B016,A06,NLP,Not Started
B018,Extraction,Add GROBID full-text parsing adapter,P1,W6,4,B016,A06,NLP,Not Started
B019,Artifacts,Implement artifact manifest hash and lineage,P0,W5,3,B008,A11,Backend,Not Started
B020,Gates,Implement common gate registry,P0,W6,3,B008|B019,A08,Backend,Not Started
B021,Gates,Implement empirical and causal gates,P0,W8,4,B020,A12,Method,Not Started
B022,Gates,Implement analytical and optimization gates,P0,W8,4,B020,A13,Method,Not Started
B023,Gates,Implement predictive and computational gates,P0,W9,4,B020,A14,Method,Not Started
B024,Knowledge,Load method formula and data-source registries,P0,W7,2,B008,A07,Backend,Not Started
B025,Knowledge,Implement Design Advisor comparison and blocking,P0,W8,4,B024,A07,Agent,Not Started
B026,Evidence,Implement Claim Evidence Assumption tables,P0,W9,4,B019,A15,Backend,Not Started
B027,API,Create FastAPI project protocol and search endpoints,P0,W4,5,B010|B012,A03,Backend,Not Started
B028,Web,Build Project and Research Canvas pages,P1,W5,5,B027,A08,Frontend,Not Started
B029,Web,Build Literature screening table,P1,W6,5,B027|B013,A04,Frontend,Not Started
